,,,,,,
S.NO,Scheme Name,Department/Ministry,Eligibility,Description,Source,Apply Link
1,PM KISAN,Ministry of Agriculture & Farmers Welfare,"Landholding farmer families; exclusions for income tax payers, institutional landholders","Provides ₹6,000/year in 3 installments to farmer families via DBT",pmkisan.gov.in,https://pmkisan.gov.in
2,PM Fasal Bima Yojana,Ministry of Agriculture & Farmers Welfare,Farmers growing notified crops in notified areas,Crop insurance against natural calamities at subsidized premiums (1.5–5%),pmfby.gov.in,https://pmfby.gov.in
3,Kisan Credit Card (KCC),Ministry of Agriculture / NABARD,"Farmers, tenant farmers, oral lessees, SHG members",Short-term credit for crop cultivation at concessional interest,—,https://www.myscheme.gov.in
4,Soil Health Card Scheme,Ministry of Agriculture & Farmers Welfare,All farmers with cultivable land,Soil testing and nutrient recommendations every 2 years,soilhealth.dac.gov.in,https://soilhealth.dac.gov.in
5,e-NAM,Ministry of Agriculture,"Registered farmers, traders, FPOs",Online trading platform for agricultural produce,enam.gov.in,https://enam.gov.in
6,PM MUDRA Yojana,Ministry of Finance (PMSU),"Non-corporate, non-farm micro/small enterprises; loans up to ₹20 lakh (Shishu/Kishore/Tarun)",Collateral-free loans to micro enterprises,mudra.org.in,https://www.udyamimitra.in
7,PM SVANidhi,Ministry of Housing & Urban Affairs,Street vendors with vending certificate/letter of recommendation,Working capital loans (₹10k → ₹20k → ₹50k) with interest subsidy,pmsvanidhi.mohua.gov.in,https://pmsvanidhi.mohua.gov.in
8,Udyam Registration (MSME),Ministry of MSME,"Micro, small, medium enterprises per MSME Act criteria",Free online MSME registration enabling scheme access,udyamregistration.gov.in,https://udyamregistration.gov.in
9,PMEGP,Ministry of MSME (KVIC),Individuals 18+ years; 8th pass required for projects above ₹10/15 lakh,Margin money subsidy (15–35%) for new micro-enterprises,kviconline.gov.in/pmegpeportal,https://www.kviconline.gov.in/pmegpeportal
10,Credit Linked Capital Subsidy Scheme (CLCSS),Ministry of MSME,Eligible MSEs upgrading technology,15% capital subsidy up to ₹1 crore on plant/machinery,—,https://msme.gov.in
11,CGTMSE,Ministry of MSME,New & existing MSEs (manufacturing/services),Credit guarantee for collateral-free loans up to ₹5 crore,cgtmse.in,https://cgtmse.in
12,Ayushman Bharat PM-JAY,Ministry of Health & Family Welfare,Families identified via SECC 2011 deprivation criteria,₹5 lakh/year health cover per family,pmjay.gov.in,https://pmjay.gov.in
13,Jan Arogya / eSanjeevani,Ministry of Health & Family Welfare,All citizens (teleconsultation),Free doctor teleconsultation via eSanjeevani AB-HWC,esanjeevani.mohfw.gov.in,https://esanjeevani.mohfw.gov.in
14,PM Matru Vandana Yojana,Ministry of WCD,"Pregnant/lactating women 19+, first live birth","₹5,000+ cash benefit in installments",pmmvy.wcd.gov.in,https://pmmvy.wcd.gov.in
15,Beti Bachao Beti Padhao,"Ministries of WCD, Health, HRD",Districts with adverse child sex ratio (now nationwide),Awareness + schemes for girl child education/protection,wcd.nic.in/bbbp,https://wcd.nic.in/bbbp-schemes
16,Sukanya Samriddhi Yojana,Ministry of Finance,Girl child below 10 years; max 2 per family,High-interest savings account; tax-free; for education/marriage,—,Open at post office/authorized banks
17,Mahila Shakti Kendra,Ministry of WCD,Rural women,"Community engagement, skill training, support to women",wcd.nic.in,https://wcd.nic.in
18,One Stop Centre (Sakhi),Ministry of WCD,Women affected by violence,"Integrated support: medical, legal, police, shelter",—,https://wcd.nic.in/one-stop-centre-scheme
19,PM Awas Yojana – Gramin,Ministry of Rural Development,Rural households without pucca house (SECC data),Financial assistance (~₹1.2–1.3 lakh) to build homes,pmayg.nic.in,https://pmayg.nic.in
20,PM Awas Yojana – Urban 2.0,Ministry of Housing & Urban Affairs,EWS/LIG/MIG urban households without pucca houses,Interest subsidy/assistance for urban housing,pmay-urban.gov.in,https://pmay-urban.gov.in
21,MGNREGA,Ministry of Rural Development,Adult members of rural households willing to do manual work,100 days guaranteed wage employment/year,nrega.nic.in,https://nrega.nic.in
22,Deendayal Antyodaya Yojana – NRLM,Ministry of Rural Development,Rural poor women (SHG-based),"SHG formation, revolving funds, bank credit linkages",aajeevika.gov.in,https://aajeevika.gov.in
23,PM Gram Sadak Yojana,Ministry of Rural Development,Unconnected rural habitations,All-weather road connectivity,pmgsy.nic.in,https://pmgsy.nic.in
24,National Social Assistance Programme (NSAP),Ministry of Rural Development,"BPL elderly, widows, disabled","Old age, widow, disability pensions",nsap.nic.in,https://nsap.nic.in
25,PM SHRI Schools,Ministry of Education,Selected government schools,"Upgrading 14,500 schools as model schools",pmshri.gov.in,https://pmshri.gov.in
26,Mid-Day Meal (PM POSHAN),Ministry of Education,Students in Classes 1–8 in govt/aided schools,Free nutritious mid-day meals,pmposhan.education.gov.in,https://pmposhan.education.gov.in
27,National Scholarship Portal Schemes,Ministry of Education,Students per scheme criteria (merit/minority/SC/ST/OBC),Scholarships for pre-matric to post-graduate,scholarships.gov.in,https://scholarships.gov.in
28,Samagra Shiksha,Ministry of Education,School education sector (K-12),"Integrated support: infrastructure, teacher training, inclusion",samagra.education.gov.in,https://samagra.education.gov.in
29,Pradhan Mantri Kaushal Vikas Yojana 4.0 (PMKVY),Ministry of Skill Development & Entrepreneurship,Youth 15–45 years (scheme-specific),Free short-term skill training + certification,pmkvyofficial.org,https://www.pmkvyofficial.org
30,DDU-GKY,Ministry of Rural Development,Rural poor youth 15–35 years,Placement-linked skill training,ddugky.gov.in,https://ddugky.gov.in
31,National Apprenticeship Promotion Scheme,Ministry of Skill Development,Apprentices 14+ (18+ for hazardous trades),Subsidized apprenticeship stipends,apprenticeshipindia.gov.in,https://www.apprenticeshipindia.gov.in
32,Startup India,DPIIT (Ministry of Commerce),"DPIIT-recognized startups (<10 yrs, <₹100 cr turnover)","Tax benefits, funding support, self-certification",startupindia.gov.in,https://www.startupindia.gov.in
33,Stand-Up India,Ministry of Finance,SC/ST and women entrepreneurs 18+,Bank loans ₹10 lakh–₹1 crore for greenfield ventures,—,https://www.standupmitra.in
34,PM Vishwakarma,Ministry of MSME,Traditional artisans/craftworkers 18+ (18 trades),"₹3 lakh loans at 5%, training, toolkit incentive ₹15,000",pmvishwakarma.gov.in,https://pmvishwakarma.gov.in
35,Atal Pension Yojana,Ministry of Finance (PFRDA),"Citizens 18–40 years, not income tax payers","Guaranteed pension ₹1,000–₹5,000/month after 60",—,Enroll via banks / https://npscra.nsdl.co.in
36,Pradhan Mantri Jeevan Jyoti Bima Yojana,Ministry of Finance,18–50 years with bank account,₹2 lakh life insurance at ₹436/year,jansuraksha.gov.in,https://jansuraksha.gov.in
37,Pradhan Mantri Suraksha Bima Yojana,Ministry of Finance,18–70 years with bank account,₹2 lakh accident insurance at ₹20/year,jansuraksha.gov.in,https://jansuraksha.gov.in
38,Ayushman Bharat Digital Mission,Ministry of Health & Family Welfare,All citizens,Digital health ID (ABHA) and health records,abdm.gov.in,https://abdm.gov.in
39,Digital India Land Records (DILRMP) / e-District,Ministry of Rural Development / MeitY,All citizens,"Online certificates, land records, services",edistrict.gov.in,https://edistrict.gov.in
40,FIT India / Khelo India,Ministry of Youth Affairs & Sports,Students/athletes per scheme criteria,"Sports infrastructure, scholarships, fitness programs",kheloindia.gov.in,https://kheloindia.gov.in
